#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.452875
-10.0,1,0.453578
-10.0,1,0.454144
-10.0,1,0.454659
-10.0,1,0.455165
-10.0,1,0.455686
-10.0,1,0.456361
-10.0,1,0.457022
-9.99,2,0.459156
-10.0,1,0.459682
-10.0,1,0.460165
-10.0,1,0.460644
-10.0,1,0.461104
-10.0,1,0.461561
-10.0,1,0.462015
-10.0,1,0.462454
-10.0,1,0.462903
-10.0,1,0.463362
-10.0,1,0.463826
-10.0,1,0.464307
-9.99,2,0.465246
-10.0,1,0.466058
-10.0,1,0.466648
-10.0,1,0.46715
-10.0,1,0.46763
-10.0,1,0.468103
-10.0,1,0.468561
-10.0,1,0.469015
-10.0,1,0.469497
-10.0,1,0.469946
-10.0,1,0.470393
-10.0,1,0.47084
-10.0,1,0.471283
-10.0,1,0.471729
-10.0,1,0.47217
-10.0,1,0.472609
-10.0,1,0.473053
-10.0,1,0.47352
-10.0,1,0.473989
-10.0,1,0.474427
-9.98,3,0.476085
-10.0,1,0.476612
-10.0,1,0.477088
-10.0,1,0.477579
-10.0,1,0.478124
-10.0,1,0.478651
-10.0,1,0.479199
-10.0,1,0.47976
-10.0,1,0.480217
-10.0,1,0.480674
-10.0,1,0.481132
-9.99,2,0.482042
-10.0,1,0.482516
-10.0,1,0.482977
-10.0,1,0.48343
-10.0,1,0.483927
-10.0,1,0.484367
-10.0,1,0.484802
-10.0,1,0.48546
-10.0,1,0.486116
-10.0,1,0.486732
-10.0,1,0.487353
-10.0,1,0.487918
-10.0,1,0.488413
-10.0,1,0.488893
-10.0,1,0.489401
-10.0,1,0.489869
-10.0,1,0.490325
-9.99,2,0.491285
-9.99,2,0.492217
-10.0,1,0.492684
-10.0,1,0.493143
-10.0,1,0.493607
-10.0,1,0.494081
-10.0,1,0.49456
-10.0,1,0.495125
-10.0,1,0.495654
-10.0,1,0.496208
-10.0,1,0.49671
-10.0,1,0.497225
-9.99,2,0.498159
-10.0,1,0.498617
-10.0,1,0.499098
-10.0,1,0.49955
-10.0,1,0.499996
-10.0,1,0.500441
-10.0,1,0.5009
-10.0,1,0.501339
-10.0,1,0.501781
-10.0,1,0.502227
-10.0,1,0.502695
-10.0,1,0.503153
-10.0,1,0.503613
-10.0,1,0.504079
-10.0,1,0.504526
-10.0,1,0.504967
-10.0,1,0.505415
-10.0,1,0.506016
-10.0,1,0.506579
-10.0,1,0.507343
-10.0,1,0.507868
-10.0,1,0.50834
-10.0,1,0.508807
-10.0,1,0.509243
-10.0,1,0.509683
-10.0,1,0.510117
-10.0,1,0.510551
-10.0,1,0.510997
-10.0,1,0.511442
-10.0,1,0.511879
-10.0,1,0.512317
-9.99,2,0.513212
-10.0,1,0.513658
-10.0,1,0.514098
-10.0,1,0.514542
-9.99,2,0.515402
-10.0,1,0.515843
-10.0,1,0.516284
-10.0,1,0.516722
-10.0,1,0.517396
-10.0,1,0.517923
-10.0,1,0.518411
-10.0,1,0.518874
-10.0,1,0.519354
-9.99,2,0.520398
-10.0,1,0.52092
-10.0,1,0.521398
-10.0,1,0.521904
-9.99,2,0.522843
-10.0,1,0.523313
-10.0,1,0.523776
-10.0,1,0.524227
-10.0,1,0.524677
-10.0,1,0.525134
-10.0,1,0.525594
-10.0,1,0.526064
-10.0,1,0.526566
-10.0,1,0.527091
-10.0,1,0.527691
-10.0,1,0.528222
-10.0,1,0.528683
-10.0,1,0.529119
-10.0,1,0.52958
-9.99,2,0.530489
-10.0,1,0.530968
-10.0,1,0.53145
-10.0,1,0.532021
-10.0,1,0.532544
-10.0,1,0.532997
-10.0,1,0.533442
-10.0,1,0.533876
-10.0,1,0.534312
-10.0,1,0.534752
-10.0,1,0.535184
-10.0,1,0.535651
-10.0,1,0.536085
-10.0,1,0.536519
-10.0,1,0.536969
-10.0,1,0.537402
-10.0,1,0.537836
-10.0,1,0.538273
-10.0,1,0.538714
-10.0,1,0.539148
-10.0,1,0.539579
-10.0,1,0.540014
-10.0,1,0.540451
-10.0,1,0.541073
-10.0,1,0.541565
-10.0,1,0.542019
-10.0,1,0.54248
-10.0,1,0.542933
-10.0,1,0.543386
-10.0,1,0.543857
-10.0,1,0.544301
-10.0,1,0.544806
-10.0,1,0.545282
-10.0,1,0.545789
-10.0,1,0.546345
-10.0,1,0.546798
-10.0,1,0.547254
-9.99,2,0.548109
-9.99,2,0.548972
-10.0,1,0.549424
-9.99,2,0.550285
-10.0,1,0.551021
-10.0,1,0.551575
-10.0,1,0.552077
-10.0,1,0.552548
-10.0,1,0.553021
-10.0,1,0.553476
-10.0,1,0.553927
-10.0,1,0.55437
-10.0,1,0.554815
-9.99,2,0.555743
-10.0,1,0.5562
-10.0,1,0.556685
-10.0,1,0.557198
-10.0,1,0.557922
-10.0,1,0.558524
-10.0,1,0.559056
-10.0,1,0.559547
-10.0,1,0.560022
-10.0,1,0.560508
-10.0,1,0.561144
-10.0,1,0.561639
-10.0,1,0.562133
-10.0,1,0.562632
-9.99,2,0.563527
