#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,0.444651
-10.0,1,0.445577
-10.0,1,0.446428
-10.0,1,0.44702
-10.0,1,0.447526
-10.0,1,0.448009
-10.0,1,0.448476
-10.0,1,0.448942
-9.99,2,0.449934
-10.0,1,0.450454
-10.0,1,0.450925
-10.0,1,0.451397
-10.0,1,0.45184
-10.0,1,0.452288
-10.0,1,0.452742
-10.0,1,0.453184
-10.0,1,0.453625
-10.0,1,0.454069
-10.0,1,0.454511
-10.0,1,0.455377
-9.99,2,0.456588
-10.0,1,0.457167
-10.0,1,0.457698
-10.0,1,0.458197
-10.0,1,0.458685
-10.0,1,0.459155
-10.0,1,0.459666
-10.0,1,0.460198
-10.0,1,0.460741
-10.0,1,0.46126
-10.0,1,0.461747
-10.0,1,0.462279
-10.0,1,0.462785
-10.0,1,0.463243
-10.0,1,0.463712
-10.0,1,0.464175
-10.0,1,0.464626
-10.0,1,0.465074
-10.0,1,0.465548
-10.0,1,0.466029
-9.98,3,0.467552
-10.0,1,0.468207
-10.0,1,0.468678
-10.0,1,0.469124
-10.0,1,0.469577
-10.0,1,0.470018
-10.0,1,0.470482
-10.0,1,0.470926
-10.0,1,0.471371
-10.0,1,0.47181
-10.0,1,0.47225
-9.99,2,0.473133
-10.0,1,0.473586
-10.0,1,0.474024
-10.0,1,0.474477
-10.0,1,0.474955
-10.0,1,0.475394
-10.0,1,0.47583
-10.0,1,0.476266
-10.0,1,0.476703
-10.0,1,0.477141
-10.0,1,0.477577
-10.0,1,0.478177
-10.0,1,0.478777
-10.0,1,0.479277
-10.0,1,0.479834
-10.0,1,0.480461
-10.0,1,0.48102
-9.99,2,0.481998
-9.99,2,0.482922
-10.0,1,0.483402
-10.0,1,0.483861
-10.0,1,0.484346
-10.0,1,0.484831
-10.0,1,0.485292
-10.0,1,0.485772
-10.0,1,0.486297
-10.0,1,0.486842
-10.0,1,0.487412
-10.0,1,0.487939
-9.99,2,0.488968
-10.0,1,0.489497
-10.0,1,0.490014
-10.0,1,0.490511
-10.0,1,0.490994
-10.0,1,0.491471
-10.0,1,0.491929
-10.0,1,0.492389
-10.0,1,0.492895
-10.0,1,0.49335
-10.0,1,0.493827
-10.0,1,0.494305
-10.0,1,0.494916
-10.0,1,0.495403
-10.0,1,0.495918
-10.0,1,0.496427
-10.0,1,0.496904
-10.0,1,0.497381
-10.0,1,0.497829
-10.0,1,0.498272
-10.0,1,0.498718
-10.0,1,0.499165
-10.0,1,0.49964
-10.0,1,0.500092
-10.0,1,0.500535
-10.0,1,0.500996
-10.0,1,0.501477
-10.0,1,0.50194
-10.0,1,0.502405
-10.0,1,0.502994
-10.0,1,0.503514
-9.99,2,0.504562
-10.0,1,0.505034
-10.0,1,0.505527
-10.0,1,0.506031
-9.99,2,0.507089
-10.0,1,0.507635
-10.0,1,0.508116
-10.0,1,0.508556
-10.0,1,0.509004
-10.0,1,0.509471
-10.0,1,0.50991
-10.0,1,0.510359
-10.0,1,0.510795
-9.99,2,0.511656
-10.0,1,0.512094
-10.0,1,0.512534
-10.0,1,0.512991
-9.99,2,0.513975
-10.0,1,0.514467
-10.0,1,0.515029
-10.0,1,0.515561
-10.0,1,0.516034
-10.0,1,0.516505
-10.0,1,0.516978
-10.0,1,0.517452
-10.0,1,0.517934
-10.0,1,0.518409
-10.0,1,0.518892
-10.0,1,0.519359
-10.0,1,0.519998
-10.0,1,0.520453
-10.0,1,0.52091
-9.99,2,0.52181
-10.0,1,0.522282
-10.0,1,0.522744
-10.0,1,0.523181
-10.0,1,0.523807
-10.0,1,0.524333
-10.0,1,0.524804
-10.0,1,0.525262
-10.0,1,0.525815
-10.0,1,0.526278
-10.0,1,0.52672
-10.0,1,0.52716
-10.0,1,0.527596
-10.0,1,0.528048
-10.0,1,0.528503
-10.0,1,0.52894
-10.0,1,0.529379
-10.0,1,0.529818
-10.0,1,0.530255
-10.0,1,0.530691
-10.0,1,0.531127
-10.0,1,0.53156
-10.0,1,0.532001
-10.0,1,0.532445
-10.0,1,0.532896
-10.0,1,0.533339
-10.0,1,0.534126
-10.0,1,0.534706
-10.0,1,0.535246
-10.0,1,0.535771
-10.0,1,0.53632
-10.0,1,0.536803
-10.0,1,0.537242
-10.0,1,0.537677
-10.0,1,0.538129
